Ticker,Mean,Sigma,Upper,Lower,LastPrice,BuyZone,SellZone,UnderControl,Slope_5d,Trend_Robust,Actionability
ACN,142.09399948120117,19.457460449931745,161.5514599311329,122.63653903126942,128.97999572753906,False,False,True,0.7109985351562331,FLAT,Neutral
ADBE,199.41800079345703,5.156765462032427,204.57476625548946,194.2612353314246,202.72999572753906,False,False,True,1.1640014648437353,FLAT,Neutral
ADM,76.96699905395508,1.7104833033899367,78.67748235734501,75.25651575056514,76.79000091552734,False,False,True,0.1700004577636732,FLAT,Neutral
ADP,220.34200134277344,3.519419422399157,223.8614207651726,216.8225819203743,223.5500030517578,False,False,True,1.3709991455077952,UP,Neutral
ADSK,194.04000091552734,4.571530909531328,198.61153182505868,189.468470005996,196.25999450683594,False,False,True,1.8029983520507693,UP,Neutral
AES,14.659000015258789,0.02884837869145333,14.687848393950242,14.630151636567335,14.670000076293945,False,False,True,9.536743187112213e-08,FLAT,Neutral
AIG,75.35799865722656,0.7967001036134327,76.15469876083999,74.56129855361313,75.56999969482422,False,False,True,-0.3280006408691416,DOWN,Neutral
ALGN,175.5519989013672,4.12742261608165,179.67942151744884,171.42457628528555,178.42999267578125,False,False,True,1.6559997558593642,UP,Neutral
AMAT,604.1159973144531,32.89279348806849,637.0087908025216,571.2232038263846,626.8400268554688,False,False,True,5.544006347656235,FLAT,Neutral
AMD,526.133999633789,15.34337917364794,541.4773788074369,510.7906204601411,521.5800170898438,False,False,True,-4.737994384765679,DOWN,Neutral
AME,234.72999877929686,4.744209508518811,239.47420828781569,229.98578927077804,237.52000427246094,False,False,True,-0.11900024414065109,FLAT,Neutral
AMT,178.91299896240236,5.775359290583472,184.68835825298584,173.13763967181887,175.58999633789062,False,False,True,-1.2339996337890815,FLAT,Neutral
AMZN,237.33300018310547,6.4154466777811825,243.74844686088665,230.9175535053243,232.69000244140625,False,False,True,-0.7299987792968906,FLAT,Neutral
AON,324.5190032958984,7.185343467828637,331.7043467637271,317.33365982806976,328.69000244140625,False,False,True,2.533001708984341,UP,Neutral
APA,34.1189998626709,1.1756274488026672,35.29462731147356,32.94337241386823,33.0099983215332,False,False,True,-0.31800079345703497,DOWN,Neutral
APH,161.11305084228516,3.8102410921419736,164.92329193442714,157.30280975014318,163.72000122070312,False,False,True,0.24699859619138834,FLAT,Neutral
AXP,338.13299865722655,4.996756175386507,343.12975483261306,333.13624248184004,340.3599853515625,False,False,True,0.9259948730468287,FLAT,Neutral
BAC,57.053999710083005,0.8681422427466517,57.922141952829655,56.185857467336355,57.880001068115234,False,False,True,0.13000030517577763,FLAT,Neutral
BEN,33.02100028991699,0.581959286164262,33.602959576081254,32.43904100375273,33.209999084472656,False,False,True,-0.2580001831054701,DOWN,Neutral
BG,115.16699981689453,6.113669057609969,121.2806688745045,109.05333075928456,110.54000091552734,False,False,True,-0.10699920654297188,FLAT,Neutral
BK,144.69099884033204,1.5387470099816096,146.22974585031366,143.15225183035042,143.55999755859375,False,False,True,-0.7620010375976655,DOWN,Neutral
BR,139.56000061035155,3.2744873384915074,142.83448794884305,136.28551327186005,137.92999267578125,False,False,True,0.3349975585937427,FLAT,Neutral
C,143.18399963378906,1.8361309203714895,145.02013055416054,141.34786871341757,141.75999450683594,False,False,True,-0.781001281738289,DOWN,Neutral
CARR,71.9739990234375,2.0147681635295003,73.988767186967,69.959230859908,73.58999633789062,False,False,True,0.8729995727538987,UP,Neutral
CAT,978.7150024414062,43.440009449523814,1022.15501189093,935.2749929918824,997.469970703125,False,False,True,2.3149902343749917,FLAT,Neutral
CBOE,260.70300140380857,18.692147360254395,279.395148764063,242.01085404355416,242.2100067138672,False,False,True,-3.997999572753948,FLAT,Neutral
CCI,84.75270080566406,3.6115550551872624,88.36425586085133,81.1411457504768,82.62000274658203,False,False,True,-0.5800003051757908,FLAT,Neutral
CCL,29.632999992370607,0.8827995951557845,30.51579958752639,28.750200397214822,29.06999969482422,False,False,True,-0.2500001907348679,DOWN,Neutral
CDNS,383.0300018310547,8.418158197956531,391.4481600290112,374.61184363309815,377.2699890136719,False,False,True,-3.43700256347654,DOWN,Neutral
CE,50.580999755859374,2.0668089075506875,52.64780866341006,48.51419084830869,49.41999816894531,False,False,True,0.0169994354247976,FLAT,Neutral
CEG,267.1810012817383,6.178196996022425,273.35919827776075,261.00280428571585,264.0199890136719,False,False,True,-2.459002685546935,DOWN,Neutral
CF,105.07999877929687,2.1939070149050908,107.27390579420197,102.88609176439178,105.69999694824219,False,False,True,0.7519996643066318,UP,Neutral
