Ticker,Mean,Sigma,Upper,Lower,LastPrice,BuyZone,SellZone,UnderControl,Slope_5d,Trend_Robust,Actionability,Name,Price,Signal
ABNB,138.22899932861327,5.540960711750694,143.76996004036397,132.68803861686257,141.8699951171875,False,False,True,0.1229980468749832,FLAT,Neutral,"Airbnb, Inc.",141.87,NONE
ACGL,97.26099853515623,0.8478134872424199,98.10881202239868,96.41318504791384,98.06999969482422,False,False,True,0.024000549316393,FLAT,Neutral,Arch Capital Group Ltd.,98.07,NONE
ADBE,242.91800079345705,8.413366725576385,251.33136751903345,234.50463406788063,238.97999572753903,False,False,True,-0.3630004882812585,FLAT,Neutral,Adobe Inc.,238.98,NONE
ADP,198.2509994506836,4.339103223040891,202.5901026737245,193.9118962276427,198.52999877929688,False,False,True,-0.4580001831054694,FLAT,Neutral,"Automatic Data Processing, Inc.",198.53,NONE
ADSK,236.9020004272461,9.766011095063243,246.6680115223093,227.13598933218285,231.97999572753903,False,False,True,-1.7820007324218885,FLAT,Neutral,"Autodesk, Inc.",231.98,NONE
AEE,111.53399887084962,1.2685794822803325,112.80257835312996,110.26541938856928,112.0500030517578,False,False,True,-0.3349990844726697,DOWN,Neutral,Ameren Corporation,112.05,NONE
AEP,134.07000122070312,1.4894765650524144,135.55947778575555,132.5805246556507,135.0800018310547,False,False,True,0.1179992675781136,FLAT,Neutral,American Electric Power Company,135.08,NONE
AFL,113.65,1.663657652200189,115.3136576522002,111.98634234779982,115.12000274658205,False,False,True,0.1280014038085736,FLAT,Neutral,AFLAC Incorporated,115.12,NONE
AJG,221.2830017089844,3.1908313751940227,224.4738330841784,218.0921703337904,219.3699951171875,False,False,True,-0.6440017700195513,FLAT,Neutral,Arthur J. Gallagher & Co.,219.37,NONE
AKAM,94.71999969482422,3.301442423405986,98.0214421182302,91.41855727141824,96.18000030517578,False,False,True,0.0069999694824212,FLAT,Neutral,"Akamai Technologies, Inc.",96.18,NONE
ALB,192.8289993286133,10.89447419944107,203.7234735280544,181.9345251291722,193.13999938964844,False,False,True,-0.9830001831054802,FLAT,Neutral,Albemarle Corporation,193.14,NONE
ALGN,187.37000122070316,6.944453221143285,194.3144544418464,180.42554799955985,190.6699981689453,False,False,True,0.5589981079101319,FLAT,Neutral,"Align Technology, Inc.",190.67,NONE
ALL,215.1429992675781,1.9410974194110169,217.08409668698917,213.2019018481671,216.55999755859372,False,False,True,-0.0190002441406542,FLAT,Neutral,Allstate Corporation (The),216.56,NONE
AME,233.61600189208983,2.4912011602946054,236.10720305238445,231.1248007317953,235.0,False,False,True,-0.887998962402392,DOWN,Neutral,"AMETEK, Inc.",235.0,NONE
AMGN,349.4260009765625,2.892652635160601,352.3186536117231,346.53334834140185,348.6199951171875,False,False,True,-1.759997558593736,DOWN,Neutral,Amgen Inc.,348.62,NONE
AMP,459.2529998779297,6.469017076085936,465.72201695401566,452.78398280184376,459.6300048828125,False,False,True,1.877999877929636,UP,Neutral,"Ameriprise Financial, Inc.",459.63,NONE
AMT,178.2766342163086,2.3916160340156014,180.6682502503242,175.88501818229298,179.00999450683594,False,False,True,-1.2050018310547062,DOWN,Neutral,American Tower Corporation (REI,179.01,NONE
AON,327.38999633789064,6.867349323011686,334.2573456609024,320.52264701487894,323.5599975585937,False,False,True,-2.1570007324219,DOWN,Neutral,Aon plc,323.56,NONE
AOS,65.19899864196778,1.2901206151945186,66.4891192571623,63.90887802677326,65.08999633789062,False,False,True,-0.0250007629394578,FLAT,Neutral,A.O. Smith Corporation,65.09,NONE
APH,148.47899932861327,3.5420516623462928,152.02105099095957,144.93694766626697,150.17999267578125,False,False,True,-0.6440002441406306,FLAT,Neutral,Amphenol Corporation,150.18,NONE
APTV,59.65800018310547,1.1120733426715643,60.77007352577704,58.54592684043391,60.40999984741211,False,False,True,0.1610000610351485,FLAT,Neutral,Aptiv PLC,60.41,NONE
ARE,46.57600059509277,2.098778622292171,48.67477921738495,44.4772219728006,46.380001068115234,False,False,True,-0.6829998016357464,DOWN,Neutral,Alexandria Real Estate Equities,46.38,NONE
ATO,186.6509979248047,2.4003080066454183,189.0513059314501,184.25068991815928,187.80999755859372,False,False,True,-0.1199981689453429,FLAT,Neutral,Atmos Energy Corporation,187.81,NONE
AVB,171.8300003051758,2.177225568522692,174.00722587369847,169.6527747366531,173.35000610351562,False,False,True,-0.6129989624023567,DOWN,Neutral,"AvalonBay Communities, Inc.",173.35,NONE
AVY,169.70700073242188,2.361157484907637,172.0681582173295,167.34584324751424,167.42999267578125,False,False,True,-1.516999816894535,DOWN,Neutral,Avery Dennison Corporation,167.43,NONE
AWK,132.90400085449218,2.1770894949214954,135.08109034941367,130.7269113595707,134.97000122070312,False,False,True,0.4600006103515556,FLAT,Neutral,"American Water Works Company, I",134.97,NONE
AXON,388.9,20.68166759150093,409.5816675915009,368.2183324084991,392.6400146484375,False,False,True,-2.1019989013672102,FLAT,Neutral,"Axon Enterprise, Inc.",392.64,NONE
AZO,3542.737963867188,56.92092168676189,3599.6588855539494,3485.817042180425,3597.199951171875,False,False,True,5.713012695311718,FLAT,Neutral,"AutoZone, Inc.",3597.2,NONE
BALL,63.318999481201175,0.6502390411359932,63.969238522337164,62.66876044006519,63.119998931884766,False,False,True,-0.4080009460449199,DOWN,Neutral,Ball Corporation,63.12,NONE
BAX,18.08699970245361,0.5622780512071939,18.649277753660808,17.52472165124642,18.40999984741211,False,False,True,-0.1129999160766616,FLAT,Neutral,Baxter International Inc.,18.41,NONE
BDX,156.00899963378907,1.5103506312890944,157.51935026507817,154.49864900249997,154.85000610351562,False,False,True,-1.036997985839853,DOWN,Neutral,"Becton, Dickinson and Company",154.85,NONE
BEN,26.673999786376957,0.8611645446323024,27.535164331009256,25.81283524174465,26.81999969482422,False,False,True,-0.1140001296997106,FLAT,Neutral,"Franklin Resources, Inc.",26.82,NONE
BK,133.37099914550782,3.3680058978244234,136.73900504333224,130.0029932476834,135.4199981689453,False,False,True,0.1149993896484352,FLAT,Neutral,The Bank of New York Mellon Cor,135.42,NONE
BKNG,183.31299896240236,6.77266929798807,190.0856682603904,176.54032966441426,176.75,False,False,True,-4.314999389648454,DOWN,Neutral,Booking Holdings Inc. Common St,176.75,NONE
BLK,1041.0419982910155,19.256567141589088,1060.2985654326048,1021.7854311494266,1053.469970703125,False,False,True,1.6709838867186382,FLAT,Neutral,"BlackRock, Inc.",1053.47,NONE
BMY,58.81199989318848,0.6938581129307512,59.505858006119226,58.11814178025773,59.02000045776367,False,False,True,-0.2629997253418047,DOWN,Neutral,Bristol-Myers Squibb Company,59.02,NONE
BR,159.29999847412108,3.6495851586510537,162.94958363277215,155.65041331547002,155.9499969482422,False,False,True,-1.458000183105493,DOWN,Neutral,"Broadridge Financial Solutions,",155.95,NONE
BRO,67.51800003051758,1.1007541633164677,68.61875419383405,66.41724586720112,67.55000305175781,False,False,True,-0.0239997863769621,FLAT,Neutral,"Brown & Brown, Inc.",67.55,NONE
BX,125.99300155639648,4.904657799226846,130.89765935562332,121.08834375716964,122.33000183105467,False,False,True,-1.2760009765625144,DOWN,Neutral,Blackstone Inc.,122.33,NONE
BXP,56.44499969482422,2.0833748283629485,58.52837452318717,54.36162486646127,57.0,False,False,True,-0.2719997406005893,FLAT,Neutral,"BXP, Inc.",57.0,NONE
C,129.64299774169922,2.7218131641203627,132.36481090581958,126.92118457757886,128.50999450683594,False,False,True,-1.0660003662109512,DOWN,Neutral,"Citigroup, Inc.",128.51,NONE
CAG,14.606999969482422,0.3140435735783777,14.9210435430608,14.292956395904044,14.40999984741211,False,False,True,-0.1210000038146989,DOWN,Neutral,"ConAgra Brands, Inc.",14.41,NONE
CARR,61.74500045776367,1.927954448030484,63.67295490579416,59.81704600973319,61.540000915527344,False,False,True,-0.0559997558593726,FLAT,Neutral,Carrier Global Corporation,61.54,NONE
CBOE,301.2529998779297,3.953650683826949,305.20665056175665,297.2993491941028,300.1199951171875,False,False,True,-0.6589996337890962,FLAT,Neutral,"Cboe Global Markets, Inc.",300.12,NONE
CBRE,148.6300018310547,3.5979534439270773,152.22795527498178,145.03204838712762,149.30999755859375,False,False,True,-0.3479995727539197,FLAT,Neutral,CBRE Group Inc,149.31,NONE
CCI,86.68599929809571,1.093711333458531,87.77971063155424,85.59228796463718,87.5199966430664,False,False,True,-0.3930000305175852,DOWN,Neutral,Crown Castle Inc.,87.52,NONE
CDNS,305.85999755859376,19.535448762156207,325.39544632074995,286.3245487964376,314.3299865722656,False,False,True,1.9709960937499795,FLAT,Neutral,"Cadence Design Systems, Inc.",314.33,NONE
CDW,134.14600067138673,5.2937917022716405,139.43979237365838,128.85220896911508,136.47000122070312,False,False,True,1.0609985351562343,FLAT,Neutral,CDW Corporation,136.47,NONE
CE,65.16000022888184,2.016316340765905,67.17631656964775,63.14368388811594,65.2300033569336,False,False,True,0.8310012817382725,UP,Neutral,Celanese Corporation,65.23,NONE
CEG,291.01000061035154,6.378417548010458,297.388418158362,284.63158306234106,292.7699890136719,False,False,True,-0.7279998779297098,FLAT,Neutral,Constellation Energy Corporatio,292.77,NONE
CFG,64.92400131225585,0.4847048226103539,65.40870613486621,64.4392964896455,65.16999816894531,False,False,True,0.0840003967285158,FLAT,Neutral,"Citizens Financial Group, Inc.",65.17,NONE
CHD,94.92699966430663,1.2684549770378175,96.19545464134444,93.65854468726882,94.58000183105467,False,False,True,-0.8249992370605496,DOWN,Neutral,"Church & Dwight Company, Inc.",94.58,NONE
CHRW,176.25300140380858,8.75382417651674,185.0068255803253,167.49917722729185,183.7400054931641,False,False,True,0.1400009155273205,FLAT,Neutral,"C.H. Robinson Worldwide, Inc.",183.74,NONE
CL,83.36884384155273,0.9298010738000264,84.29864491535275,82.43904276775271,83.72000122070312,False,False,True,-0.4299995422363337,DOWN,Neutral,Colgate-Palmolive Company,83.72,NONE
CMS,77.42100067138672,1.397404145532887,78.81840481691961,76.02359652585383,76.62000274658203,False,False,True,-0.4319992065429705,DOWN,Neutral,CMS Energy Corporation,76.62,NONE
CNP,42.795999908447264,0.4206662329564686,43.216666141403735,42.37533367549079,43.18000030517578,False,False,True,-0.0220001220703112,FLAT,Neutral,"CenterPoint Energy, Inc (Holdin",43.18,NONE
COF,200.48200073242188,4.143082469416255,204.62508320183807,196.33891826300564,196.6300048828125,False,False,True,-2.596000671386709,DOWN,Neutral,Capital One Financial Corporati,196.63,NONE
CPB,20.696999931335448,0.4040365237733905,21.10103645510884,20.292963407562056,20.959999084472656,False,False,True,-0.0500001907348653,FLAT,Neutral,The Campbell's Company,20.96,NONE
CPT,102.06600036621094,1.3063885517129428,103.37238891792389,100.759611814498,102.43000030517578,False,False,True,-0.5220001220703248,DOWN,Neutral,Camden Property Trust,102.43,NONE
CRM,178.6530029296875,8.01213577071061,186.6651387003981,170.64086715897687,173.3000030517578,False,False,True,-1.4149993896484474,FLAT,Neutral,"Salesforce, Inc.",173.3,NONE
CRWD,422.788998413086,26.56231847676669,449.3513168898526,396.2266799363193,445.3900146484375,False,False,True,7.6410003662109,UP,Neutral,"CrowdStrike Holdings, Inc.",445.39,NONE
CSCO,85.60899963378907,3.178022777602547,88.78702241139162,82.43097685618652,88.58999633789062,False,False,True,0.6769996643066241,FLAT,Neutral,"Cisco Systems, Inc.",88.59,NONE
CSGP,38.5330005645752,1.3080188711469838,39.84101943572218,37.22498169342821,37.380001068115234,False,False,True,-0.597000122070315,DOWN,Neutral,"CoStar Group, Inc.",37.38,NONE
CTAS,176.71299896240234,1.5084148112990177,178.22141377370136,175.20458415110332,177.6199951171875,False,False,True,-0.7130004882812481,DOWN,Neutral,Cintas Corporation,177.62,NONE
D,62.49700050354004,1.0093131422101838,63.50631364575022,61.487687361329854,62.52000045776367,False,False,True,-0.1069995880126977,FLAT,Neutral,"Dominion Energy, Inc.",62.52,NONE
DAL,69.83800048828125,1.816911545720828,71.65491203400208,68.02108894256043,68.37000274658203,False,False,True,-0.9499992370605552,DOWN,Neutral,"Delta Air Lines, Inc.",68.37,NONE
DD,46.72999992370605,0.4770743025333609,47.20707422623941,46.25292562117269,46.369998931884766,False,False,True,-0.2979999542236375,DOWN,Neutral,"DuPont de Nemours, Inc.",46.37,NONE
DE,590.9130004882812,9.233796911617786,600.146797399899,581.6792035766634,591.9500122070312,False,False,True,-1.1550048828125807,FLAT,Neutral,Deere & Company,591.95,NONE
DG,122.21199951171874,3.370184981816981,125.58218449353572,118.84181452990175,122.05999755859376,False,False,True,-1.2500007629394687,DOWN,Neutral,Dollar General Corporation,122.06,NONE
DGX,196.1360000610352,5.096138723172282,201.23213878420745,191.03986133786287,199.52999877929688,False,False,True,1.6709991455077946,UP,Neutral,Quest Diagnostics Incorporated,199.53,NONE
DIS,103.52300033569335,2.194408415017777,105.71740875071112,101.32859192067558,103.6500015258789,False,False,True,-0.6760002136230534,DOWN,Neutral,Walt Disney Company (The),103.65,NONE
DLR,198.09100036621092,4.96436577645232,203.05536614266327,193.12663458975865,200.0,False,False,True,-1.028999328613282,FLAT,Neutral,"Digital Realty Trust, Inc.",200.0,NONE
DLTR,102.48400039672852,2.507748673226744,104.99174906995526,99.97625172350178,102.25,False,False,True,-1.263999938964845,DOWN,Neutral,"Dollar Tree, Inc.",102.25,NONE
DOW,38.50599975585938,1.372566230231128,39.87856598609051,37.13343352562825,38.52999877929688,False,False,True,0.7900001525878876,UP,Neutral,Dow Inc.,38.53,NONE
DTE,146.59399871826173,1.8876246169092747,148.481623335171,144.70637410135245,147.39999389648438,False,False,True,-0.1459991455078222,FLAT,Neutral,DTE Energy Company,147.4,NONE
DUK,128.34299850463867,1.986810662962836,130.3298091676015,126.35618784167583,128.0399932861328,False,False,True,-0.2590011596679762,FLAT,Neutral,Duke Energy Corporation (Holdin,128.04,NONE
DXCM,63.01699981689453,1.070919151848544,64.08791896874308,61.94608066504599,62.70000076293945,False,False,True,-0.377000045776375,DOWN,Neutral,"DexCom, Inc.",62.7,NONE
EBAY,102.21300048828124,3.719120824017952,105.9321213122992,98.4938796642633,103.4000015258789,False,False,True,-0.4000000000000057,FLAT,Neutral,eBay Inc.,103.4,NONE
ECL,272.29200134277346,2.474616383114256,274.7666177258877,269.8173849596592,271.45001220703125,False,False,True,-1.3449951171875485,DOWN,Neutral,Ecolab Inc.,271.45,NONE
ED,110.42999954223632,1.6488378173347884,112.07883735957112,108.78116172490154,110.25,False,False,True,-0.1340003967285376,FLAT,Neutral,"Consolidated Edison, Inc.",110.25,NONE
EIX,71.42099990844727,1.8168748777399024,73.23787478618718,69.60412503070737,70.33999633789062,False,False,True,-0.2020011901855569,FLAT,Neutral,Edison International,70.34,NONE
EL,75.85499954223633,1.415425044110114,77.27042458634644,74.43957449812622,76.4000015258789,False,False,True,-0.0789985656738375,FLAT,Neutral,"Estee Lauder Companies, Inc. (T",76.4,NONE
EMR,143.67200164794923,2.1977283461282773,145.86972999407752,141.47427330182094,142.44000244140625,False,False,True,-1.1820007324218993,DOWN,Neutral,Emerson Electric Company,142.44,NONE
EOG,132.5946258544922,2.405653781788807,135.000279636281,130.1889720727034,133.8699951171875,False,False,True,1.4729995727539047,UP,Neutral,"EOG Resources, Inc.",133.87,NONE
EQR,61.738000106811526,0.9287723723881448,62.66677247919967,60.80922773442338,62.650001525878906,False,False,True,-0.1789997100830143,FLAT,Neutral,Equity Residential,62.65,NONE
ES,68.60100021362305,0.9687956127628918,69.56979582638594,67.63220460086016,68.7699966430664,False,False,True,-0.2420005798339917,FLAT,Neutral,Eversource Energy (D/B/A),68.77,NONE
ESS,252.4070022583008,3.1645483036075213,255.5715505619083,249.24245395469327,255.05999755859372,False,False,True,-0.6170013427734532,FLAT,Neutral,"Essex Property Trust, Inc.",255.06,NONE
ETR,114.26399993896484,1.981336296809863,116.2453362357747,112.282663642155,113.91999816894533,False,False,True,-0.6389999389648497,DOWN,Neutral,Entergy Corporation,113.92,NONE
ETSY,60.23600006103516,4.618872553179924,64.85487261421508,55.61712750785523,63.47999954223633,False,False,True,0.5039993286132768,FLAT,Neutral,"Etsy, Inc.",63.48,NONE
EVRG,81.74099960327149,1.0952473960360545,82.83624699930755,80.64575220723543,81.88999938964844,False,False,True,-0.2990005493164157,DOWN,Neutral,"Evergy, Inc.",81.89,NONE
EW,79.48300018310547,1.4274298952885105,80.91043007839399,78.05557028781696,79.72000122070312,False,False,True,-0.2449996948242281,FLAT,Neutral,Edwards Lifesciences Corporatio,79.72,NONE
EXC,47.31500053405762,0.9960280488785044,48.311028582936125,46.31897248517911,46.75,False,False,True,-0.1080001831054739,FLAT,Neutral,Exelon Corporation,46.75,NONE
EXPE,255.65899810791012,14.54270381128317,270.20170191919334,241.116294296627,250.3699951171875,False,False,True,-3.957998657226585,DOWN,Neutral,"Expedia Group, Inc.",250.37,NONE
EXR,142.26499786376954,2.470193234059129,144.73519109782868,139.7948046297104,142.66000366210938,False,False,True,-1.105999755859386,DOWN,Neutral,Extra Space Storage Inc,142.66,NONE
F,12.577999877929688,0.2693531389288698,12.847353016858555,12.30864673900082,12.479999542236328,False,False,True,-0.1020000457763694,DOWN,Neutral,Ford Motor Company,12.48,NONE
FAST,45.601000213623045,1.360158083311764,46.96115829693481,44.24084213031128,45.45000076293945,False,False,True,-0.1409996032714862,FLAT,Neutral,Fastenal Company,45.45,NONE
FDS,230.39000244140624,8.87854694044407,239.2685493818503,221.51145550096217,228.0800018310547,False,False,True,-0.2459991455078117,FLAT,Neutral,FactSet Research Systems Inc.,228.08,NONE
FDX,382.1280059814453,11.219245526118112,393.3472515075634,370.9087604553272,392.6900024414063,False,False,True,-0.7190002441406957,FLAT,Neutral,FedEx Corporation,392.69,NONE
FE,50.07599983215332,1.0515621409119218,51.12756197306524,49.0244376912414,49.619998931884766,False,False,True,-0.1979999542236364,FLAT,Neutral,FirstEnergy Corp.,49.62,NONE
FFIV,304.1720001220703,8.842495663312853,313.01449578538313,295.32950445875747,299.8900146484375,False,False,True,-2.477996826171887,DOWN,Neutral,"F5, Inc.",299.89,NONE
FICO,1015.4860107421875,48.98293423690944,1064.468944979097,966.5030765052782,979.760009765625,False,False,True,-28.07600708007821,DOWN,Neutral,Fair Isaac Corporation,979.76,NONE
FOX,57.34050025939941,1.1197236335398004,58.46022389293921,56.220776625859614,57.7400016784668,False,False,True,-0.099999618530281,FLAT,Neutral,Fox Corporation,57.74,NONE
FOXA,63.92799911499024,1.3533144229771426,65.28131353796738,62.57468469201309,64.52999877929688,False,False,True,-0.0270004272461011,FLAT,Neutral,Fox Corporation,64.53,NONE
FRT,110.60599975585936,1.2334250892409755,111.83942484510035,109.3725746666184,111.5,False,False,True,-0.4260002136230599,DOWN,Neutral,Federal Realty Investment Trust,111.5,NONE
FSLR,194.5720016479492,5.575065200226665,200.14706684817588,188.99693644772253,196.19000244140625,False,False,True,0.7720001220702917,FLAT,Neutral,"First Solar, Inc.",196.19,NONE
FTNT,81.57299880981445,3.180021830667988,84.75302064048243,78.39297697914647,82.76000213623047,False,False,True,0.6330009460449149,FLAT,Neutral,"Fortinet, Inc.",82.76,NONE
GEN,19.44099998474121,0.7800209602953692,20.22102094503658,18.66097902444584,18.809999465942383,False,False,True,-0.3050003051757829,DOWN,Neutral,Gen Digital Inc.,18.81,NONE
GIS,35.11500015258789,0.401365187167004,35.51636533975489,34.71363496542089,35.470001220703125,False,False,True,-0.0149997711181643,FLAT,Neutral,"General Mills, Inc.",35.47,NONE
GLW,168.7050018310547,3.5469367954597004,172.2519386265144,165.15806503559497,169.5,False,False,True,1.3619979858398368,UP,Neutral,Corning Incorporated,169.5,NONE
GM,78.6970001220703,1.528856272249942,80.22585639432025,77.16814384982037,78.5199966430664,False,False,True,-0.7140007019043043,DOWN,Neutral,General Motors Company,78.52,NONE
GOOG,331.34999694824216,7.941901232903603,339.29189818114577,323.40809571533856,337.75,False,False,True,-0.0969970703125405,FLAT,Neutral,Alphabet Inc.,337.75,NONE
GOOGL,333.4200012207031,8.023510536363181,341.4435117570663,325.39649068433994,338.8900146484375,False,False,True,-0.3679962158203366,FLAT,Neutral,Alphabet Inc.,338.89,NONE
GPC,111.17300033569336,2.1915183426758067,113.36451867836917,108.98148199301755,109.79000091552734,False,False,True,-0.8849998474121213,DOWN,Neutral,Genuine Parts Company,109.79,NONE
GPN,69.94599990844726,2.3635292684952605,72.30952917694252,67.582470639952,67.86000061035156,False,False,True,-1.0230003356933648,DOWN,Neutral,Global Payments Inc.,67.86,NONE
GRMN,264.0959991455078,3.388956391713312,267.4849555372211,260.7070427537945,260.79998779296875,False,False,True,-1.4170043945312718,DOWN,Neutral,Garmin Ltd.,260.8,NONE
GS,916.8089965820312,17.407808703156665,934.216805285188,899.4011878788746,931.2999877929688,False,False,True,0.3799987792967984,FLAT,Neutral,"Goldman Sachs Group, Inc. (The)",931.3,NONE
GWW,1158.2180053710938,12.08289794732846,1170.3009033184223,1146.1351074237652,1164.9100341796875,False,False,True,-0.4979736328124992,FLAT,Neutral,"W.W. Grainger, Inc.",1164.91,NONE
HBAN,16.735999870300294,0.2060312283420379,16.94203109864233,16.529968641958256,16.829999923706055,False,False,True,-0.0280000686645518,FLAT,Neutral,Huntington Bancshares Incorpora,16.83,NONE
HCA,484.5779998779297,10.644538397222272,495.222538275152,473.9334614807074,474.0299987792969,False,False,True,-3.4730010986328006,DOWN,Neutral,"HCA Healthcare, Inc.",474.03,NONE
HD,342.1239990234375,4.769626901403217,346.8936259248407,337.35437212203425,340.1600036621094,False,False,True,-2.996997070312548,DOWN,Neutral,"Home Depot, Inc. (The)",340.16,NONE
HLT,333.34400329589846,6.376436969470319,339.7204402653688,326.96756632642814,334.2799987792969,False,False,True,-2.2720001220703616,DOWN,Neutral,Hilton Worldwide Holdings Inc.,334.28,NONE
HPE,26.41299991607666,1.7098477958725158,28.122847711949177,24.703152120204145,27.93000030517578,False,False,True,0.3680000305175773,FLAT,Neutral,Hewlett Packard Enterprise Comp,27.93,NONE
HPQ,19.65699977874756,0.797162373706755,20.454162152454312,18.859837405040803,20.13999938964844,False,False,True,0.1370000839233396,FLAT,Neutral,HP Inc.,20.14,NONE
HSIC,77.63099899291993,1.2530904090529342,78.88408940197286,76.377908583867,78.22000122070312,False,False,True,-0.2260002136230596,FLAT,Neutral,"Henry Schein, Inc.",78.22,NONE
HST,20.80300025939941,0.3820721483611654,21.18507240776058,20.42092811103825,21.06999969482422,False,False,True,-0.0540002822875989,FLAT,Neutral,"Host Hotels & Resorts, Inc.",21.07,NONE
HSY,193.43899993896488,4.377987511521504,197.81698745048635,189.06101242744336,192.1000061035156,False,False,True,-0.3860000610351791,FLAT,Neutral,The Hershey Company,192.1,NONE
HWM,251.4550018310547,5.550770855562877,257.00577268661755,245.9042309754918,246.16000366210935,False,False,True,-3.379998779296893,DOWN,Neutral,Howmet Aerospace Inc.,246.16,NONE
INTC,65.73199996948242,1.9083776225062568,67.64037759198867,63.82362234697616,66.77999877929688,False,False,True,-0.3870002746582113,FLAT,Neutral,Intel Corporation,66.78,NONE
INTU,385.8919952392578,18.77100897390132,404.6630042131591,367.1209862653565,383.2999877929688,False,False,True,-1.6050018310547405,FLAT,Neutral,Intuit Inc.,383.3,NONE
IR,85.37199935913085,1.6589420655121072,87.03094142464296,83.71305729361875,84.94999694824219,False,False,True,-0.4010017395019617,FLAT,Neutral,Ingersoll Rand Inc.,84.95,NONE
IRM,115.63400115966796,3.368976756422257,119.00297791609025,112.26502440324572,116.12000274658205,False,False,True,-0.7199989318847875,FLAT,Neutral,Iron Mountain Incorporated (Del,116.12,NONE
IT,153.0470001220703,4.647028018659978,157.69402814073027,148.3999721034103,148.60000610351562,False,False,True,-1.1179977416992404,FLAT,Neutral,"Gartner, Inc.",148.6,NONE
ITW,270.3489990234375,3.44571825867144,273.79471728210893,266.90328076476607,273.1300048828125,False,False,True,-0.3850006103516047,FLAT,Neutral,Illinois Tool Works Inc.,273.13,NONE
J,126.9589988708496,2.0342509637678354,128.99324983461744,124.92474790708178,127.58000183105467,False,False,True,-0.4019973754882885,FLAT,Neutral,Jacobs Solutions Inc.,127.58,NONE
JCI,140.5270004272461,1.9547596986549511,142.48176012590105,138.57224072859114,141.72999572753906,False,False,True,0.0550003051757589,FLAT,Neutral,Johnson Controls International ,141.73,NONE
JKHY,152.747998046875,2.6189221088402883,155.3669201557153,150.12907593803473,150.60000610351562,False,False,True,-0.4909973144531356,FLAT,Neutral,"Jack Henry & Associates, Inc.",150.6,NONE
JNJ,233.7510009765625,5.167745331189592,238.9187463077521,228.5832556453729,230.6499938964844,False,False,True,-1.1649993896484565,FLAT,Neutral,Johnson & Johnson,230.65,NONE
JPM,311.5539978027344,2.927883449466403,314.4818812522008,308.626114353268,311.69000244140625,False,False,True,-0.1170013427734727,FLAT,Neutral,JP Morgan Chase & Co.,311.69,NONE
KEY,21.8189998626709,0.2496424936060952,22.068642356277,21.569357369064804,22.01000022888184,False,False,True,0.0270002365112285,FLAT,Neutral,KeyCorp,22.01,NONE
KHC,22.270999717712403,0.3658004836599836,22.636800201372388,21.905199234052414,21.96999931335449,False,False,True,-0.1319999694824237,DOWN,Neutral,The Kraft Heinz Company,21.97,NONE
KIM,23.65500011444092,0.3296209328833123,23.98462104732423,23.325379181557604,23.84000015258789,False,False,True,-0.1190000534057621,DOWN,Neutral,Kimco Realty Corporation (HC),23.84,NONE
KMB,97.4479995727539,0.8218245260556359,98.26982409880954,96.62617504669826,97.93000030517578,False,False,True,-0.3609992980957102,DOWN,Neutral,Kimberly-Clark Corporation,97.93,NONE
KMI,31.896000099182128,0.3186151754369999,32.21461527461913,31.57738492374513,31.729999542236328,False,False,True,-0.0710002899169932,FLAT,Neutral,"Kinder Morgan, Inc.",31.73,NONE
KMX,41.71700057983399,3.428479412996695,45.14547999283068,38.28852116683729,38.54999923706055,False,False,True,-0.5740001678466854,FLAT,Neutral,CarMax Inc,38.55,NONE
KO,75.7099998474121,0.8582812713376746,76.56828111874978,74.85171857607443,76.27999877929688,False,False,True,0.0229995727539006,FLAT,Neutral,Coca-Cola Company (The),76.28,NONE
KVUE,17.403999710083006,0.1241148364564782,17.528114546539484,17.27988487362653,17.489999771118164,False,False,True,-0.0510002136230483,DOWN,Neutral,Kenvue Inc.,17.49,NONE
LH,267.7899993896484,3.915802073107346,271.70580146275574,263.8741973165411,264.9200134277344,False,False,True,-0.8089965820312806,FLAT,Neutral,Labcorp Holdings Inc.,264.92,NONE
LLY,918.9620056152344,11.97980666390274,930.9418122791373,906.9821989513316,917.6500244140624,False,False,True,-1.7180053710938386,FLAT,Neutral,Eli Lilly and Company,917.65,NONE
LNT,72.28199996948243,0.7037328659121981,72.98573283539463,71.57826710357023,72.62999725341797,False,False,True,-0.184001159667972,DOWN,Neutral,Alliant Energy Corporation,72.63,NONE
LOW,246.4609817504883,3.573260073203133,250.03424182369145,242.8877216772852,246.5399932861328,False,False,True,-1.484490966796906,DOWN,Neutral,"Lowe's Companies, Inc.",246.54,NONE
LW,43.96499938964844,1.219410561923843,45.184409951572285,42.7455888277246,43.93999862670898,False,False,True,-0.2750003814697374,FLAT,Neutral,"Lamb Weston Holdings, Inc.",43.94,NONE
LYB,71.98899993896484,2.895301441687236,74.88430138065208,69.0936984972776,70.72000122070312,False,False,True,1.2320007324218671,UP,Neutral,LyondellBasell Industries NV,70.72,NONE
MAA,125.50648422241213,1.9002804004323213,127.40676462284443,123.6062038219798,126.0,False,False,True,-0.8760009765625124,DOWN,Neutral,Mid-America Apartment Communiti,126.0,NONE
